JUNE DATASET,,,All numbers are reported in seconds of time spent with item,,,,,,,
TESTING,Date,ID,Position N,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Treatment
,2022-06-23_NOB_DOT_1,,2,3.7,6.5,1.3,0.3,3.7,7.1,TI
,2022-06-23_NOB_DOT_3,,6,4.7,6.8,7.1,1.9,7.4,2.8,TI
,2022-06-23_NOB_DOT_5,,4,6.4,12.3,6.1,14.8,3.4,9.5,AC
,2022-06-23_NOB_IOT_2,,5,0.7,7.2,2.1,1.4,7.2,4.9,SW
,2022-06-23_NOB_IOT_4,,1,19.7,9,1.4,1.6,2.7,4.3,AC
,2022-06-23_NOB_IOT_6,,1,9.2,5.2,2,3.5,3.2,9.4,SW
,2022-06-24_NOD_DOT_13,,3,3.5,7.1,9.9,7.8,10.8,7,TI
,2022-06-24_NOD_DOT_15,,4,5.5,2.4,3.1,7.9,5.6,3.5,TI
,2022-06-24_DOT_17_test,,3,5.2,3.3,5.2,7.6,6.8,8.3,AC
,2022-06-24_NOD_IOT_14,,3,9.9,5.7,6.6,5.6,8,8.8,SW
,2022-06-24_NOD_IOT_16,,1,11.4,6,2.4,4.8,3.7,7.2,TI
,2022-06-24_NOD_IOT_18,,5,6.2,4.3,0,5.7,25.6,11.4,SW
,2022-06-26_NOB_DOT_2,,5,1.7,1.8,3.7,0.8,2.2,0.4,AC
,2022-06-26_NOB_DOT_4,,4,9.9,3.1,9.6,1.3,5.7,2.4,TI
,2022-06-26_NOB_DOT_6,,4,1.7,1.4,3,2.3,3,3.9,TI
,2022-06-26_NOB_IOT_1,,5,1.5,3.6,4.2,1.2,1.3,2,AC
,2022-06-26_NOB_IOT_3,,4,6.8,1.1,4.3,7.3,6.8,5.4,SW
,2022-06-26_NOB_IOT_5,,4,3.1,5.3,3.4,7.1,9,5,SW
,2022-06-27_NOD_DOT_14,,5,1.9,6.3,3,3.5,4.8,7.9,AC
,2022-06-27_NOD_DOT_16,,2,12.5,7.9,12.4,6.6,10.5,2.8,AC
,2022-06-27_NOD_DOT_18,,6,4,9.2,7.7,2.5,10.9,18.6,TI
,2022-06-27_NOD_IOT_13,,4,7.7,9.5,7,5.3,7.6,5.6,AC
,2022-06-27_NOD_IOT_15,,6,12.3,3.5,8.3,9.5,3.8,3.8,SW
,2022-06-27_NOD_IOT_17,,5,8.8,3.6,12.5,6.1,10.6,7.2,SW
,rescore June 26 DOT 4,,4,9.9,3.1,9.6,1.3,5.7,2.4,TI
